SPEAKER_14 | 0:0:39.265 --> 0:1:8.290 |  За даними розвідки, сьогодні в півночі всі перезбираються використати Буратіно. Ви всі розумієте, що це кінець. Тут не залишиться нічого. Здавати аеропорт наказу не було. Але, якщо хтось вирішить його покинути, я зрозумію. Мажор.
SPEAKER_10 | 0:1:11.902 --> 0:1:17.622 |  Ну, чоловіки, вибачайте, в мене за планом сьогодні баня. Суботу. Мені в ломку дати переться на ніч, глядя.
SPEAKER_06 | 0:1:18.314 --> 0:1:18.685 |  Їдь.
SPEAKER_14 | 0:1:20.592 --> 0:1:25.807 |  А я взагалі тягнути боюсь. Старий, вже можна буде сьогодні нарешті хоч виспатися.
SPEAKER_13 | 0:1:30.177 --> 0:1:34.312 |  Капець, які ви круті! Ви не люди, ви, мабуть...
SPEAKER_14 | 0:1:35.965 --> 0:1:36.303 |  Боргин.
SPEAKER_10 | 0:2:23.975 --> 0:2:29.560 |  — Можна вас? — Часовим. Ось так. Можна кілька слів, дядько, знімайте.
SPEAKER_12 | 0:2:29.560 --> 0:2:32.952 |  А будь ласка, чого ви боїтеся? Це ж не автомат.
SPEAKER_10 | 0:2:32.176 --> 0:2:33.914 |  А я не був зіркою, схера мене знімала.
SPEAKER_12 | 0:2:33.560 --> 0:2:35.213 |  Мажор, давай з нами.
SPEAKER_04 | 0:2:36.40 --> 0:2:42.908 |  Так, так, так, я поміняв пароль, бо ти постійно шаришся в моїх повідомленнях. Які тілки, Лариса, які тілки, я на війні.
SPEAKER_27 | 0:2:42.385 --> 0:2:43.853 |  А ти не знаєш, в якої машині медикамент?
SPEAKER_04 | 0:2:45.203 --> 0:3:5.470 |  Та ні, це просто, колжун, втурділий. Та я з пацанами йохану, хто я? Звиняй, командир, а куди нам, я не розумію, грузитися? По-перше, я не твій командир, а по-друге, що ти тут забув, скажи, будь ласка. Третій бат, п'ять місяців без ротації, прийшлі тебе нормальних солдат, послали. Дідець.
SPEAKER_02 | 0:3:7.732 --> 0:3:16.743 |  Аеропорт ми не здамо, ясно? За нами вся Україна. Жоден нормальний мужик не може сидіти вдома, коли ворог нахабно атакує нашу землю.
SPEAKER_23 | 0:3:16.945 --> 0:3:17.468 |  Пару!
SPEAKER_12 | 0:3:18.802 --> 0:3:44.249 |  Зараз ми бачимо, як наші бійці відправляються туди, у Донецький аеропорт, у самісіньке пекло. Звідси, з Пісків до аеропорту, всього три кілометри. І цю дорогу наші бійці назвали «дорогою життя». Вони їдуть в Донецький аеропорт для того, щоб захищати свої родини, захищати своїх батьків і своїх дітей. Вони йдуть туди для того, щоб захищати Україну. Олександр Загород, Влад Жиренко.
SPEAKER_23 | 0:4:17.88 --> 0:4:31.43 |  Ну шо, друже, вітаю на самому веселому атракціоні, бля! А полегше нельзя? А полегше нельзя, бо буде больно! Ха-ха-ха, сука!
SPEAKER_25 | 0:4:47.817 --> 0:5:1.655 |  Сука, прилетіло, давай пілом! Нас там б'ють! Ааа, блядь, тут живим звернеш, давай, сука! Ааа, блядь! Позаду! Блядь! Позаду! Позад!
SPEAKER_11 | 0:5:24.385 --> 0:5:26.562 |  Калаш. Куди? Я заберу!
SPEAKER_25 | 0:5:37.885 --> 0:5:39.286 |  Я керівник Вахікова!
SPEAKER_23 | 0:5:47.318 --> 0:5:48.78 |  Давай, Левриді!
SPEAKER_11 | 0:5:59.519 --> 0:6:1.628 |  Сенкін, ну що, нормально все?
SPEAKER_08 | 0:6:4.430 --> 0:6:10.808 |  Давай-давай-давай! Таксі до аеропорту замовляли? Чого синемо? Давай-давай!
SPEAKER_25 | 0:6:17.660 --> 0:6:18.31 |  Дякую за перегляд!
SPEAKER_08 | 0:6:19.465 --> 0:6:39.57 |  – Трансфер в аеропорт? – Не трансфер, а шофер. Давай, поїхали! Ти мене повернути хотіли, прикинь! Темна нічка гори вкрила, головно, як відчуття?
SPEAKER_10 | 0:6:39.766 --> 0:6:41.521 |  як на якомусь хіровому концерті.
SPEAKER_08 | 0:6:42.753 --> 0:7:2.902 |  Тоді ще туди не потрапив. А взагалі, де був? З концертів? Ага. З симфонічних. В аеропорту був? Ні, а шо? Або бляпантів, як на два елевайських котла. А чим міряєш? Тільки звідти.
SPEAKER_04 | 0:7:3.357 --> 0:7:5.213 |  Ми любили, знаємо. Нічого, скоро своїх увіжу.
SPEAKER_05 | 0:7:5.905 --> 0:7:9.972 |  Зброя в БМП, курва!
SPEAKER_03 | 0:7:9.972 --> 0:7:17.296 |  Оце де? Оце де, тварі, прийшли на нашу землю? Нічого, нічого. Заклинувся ж твоєю кров'ю.
SPEAKER_04 | 0:7:18.680 --> 0:7:19.743 |  По-любому, заспокійся.
SPEAKER_08 | 0:7:22.392 --> 0:7:34.508 |  Хлопці, не повірите, проїхали! Наскаво просимо!
SPEAKER_06 | 0:7:46.152 --> 0:7:50.118 |  Слава Україні! О, серпень!
SPEAKER_14 | 0:7:47.975 --> 0:7:48.380 |  Дякую.
SPEAKER_06 | 0:7:52.42 --> 0:7:53.206 |  Ви бачите, як доїхали.
SPEAKER_14 | 0:7:53.206 --> 0:7:58.117 |  Попала в заміс. Декілька трьох шоток, дивилась машина в піски повертати.
SPEAKER_06 | 0:7:58.117 --> 0:8:17.202 |  – Ясно. Це всі? – Всі, що доїхали. Ясно. Ти давай проходь. Проходьте, мужики, проходьте. Це серпень, хлопці. Я вам про нього розповідав. – Хлопці, заходьте, не соромтесь. – Що? Дів! Покажеш наш готель новим гостям?
SPEAKER_17 | 0:8:17.675 --> 0:8:19.767 |  Так, якраз список закінчив.
SPEAKER_06 | 0:8:21.522 --> 0:8:21.978 |  І задякую.
SPEAKER_17 | 0:8:21.978 --> 0:8:24.37 |  Між перчатками 20 штук.
SPEAKER_18 | 0:8:28.762 --> 0:8:32.356 |  Перейдіть волонтерам, якщо мене вб'ють.
SPEAKER_06 | 0:8:38.110 --> 0:8:39.376 |  Радуцька маза, це футбол.
SPEAKER_18 | 0:8:41.452 --> 0:8:41.873 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:8:42.397 --> 0:8:42.700 |  Дякую.
SPEAKER_18 | 0:8:43.696 --> 0:8:46.25 |  Ну що, пацани, показати вам нашу дівчатку?
SPEAKER_17 | 0:8:46.25 --> 0:8:48.455 |  Чотири звізди, все включено. Я гід.
SPEAKER_06 | 0:8:48.927 --> 0:8:49.383 |  Суботи.
